father,node_name,depth
Pancreatitis,"Pancreatitis, Alcoholic",4
Pancreatitis,"Pancreatitis, Chronic",4
Pancreatitis,"Pancreatitis, Graft",4
Digestive System Diseases,Peritoneal Diseases,2
Peritoneal Diseases,Chylous Ascites,3
Peritoneal Diseases,Hemoperitoneum,3
Peritoneal Diseases,Mesenteric Ischemia,3
Peritoneal Diseases,Mesenteric Lymphadenitis,3
Peritoneal Diseases,Mesenteric Vascular Occlusion,3
Peritoneal Diseases,"Panniculitis, Peritoneal",3
Peritoneal Diseases,Peritoneal Fibrosis,3
Peritoneal Diseases,Peritoneal Neoplasms,3
Peritoneal Neoplasms,Mesenteric Cyst,4
Peritoneal Diseases,Peritonitis,3
Peritonitis,"Peritonitis, Tuberculous",4
Peritonitis,Subphrenic Abscess,4
Peritoneal Diseases,Pneumoperitoneum,3
Diseases,Stomatognathic Diseases,1
Stomatognathic Diseases,Ankyloglossia,2
Stomatognathic Diseases,Jaw Diseases,2
Jaw Diseases,Bisphosphonate-Associated Osteonecrosis of the Jaw,3
Jaw Diseases,Cherubism,3
Jaw Diseases,"Granuloma, Giant Cell",3
Jaw Diseases,Jaw Abnormalities,3
Jaw Abnormalities,Cleft Palate,4
Jaw Abnormalities,Micrognathism,4
Jaw Abnormalities,Pierre Robin Syndrome,4
Jaw Abnormalities,Prognathism,4
Jaw Abnormalities,Retrognathia,4
Jaw Diseases,Jaw Cysts,3
Jaw Cysts,Nonodontogenic Cysts,4
Jaw Cysts,Odontogenic Cysts,4
Jaw Diseases,Jaw Neoplasms,3
Jaw Neoplasms,Mandibular Neoplasms,4
Jaw Neoplasms,Maxillary Neoplasms,4
Jaw Neoplasms,Palatal Neoplasms,4
Jaw Diseases,"Jaw, Edentulous",3
"Jaw, Edentulous","Jaw, Edentulous, Partially",4
Jaw Diseases,Mandibular Diseases,3
Mandibular Diseases,Craniomandibular Disorders,4
Mandibular Diseases,Mandibular Neoplasms,4
Mandibular Diseases,Prognathism,4
Mandibular Diseases,Retrognathia,4
Jaw Diseases,Maxillary Diseases,3
Maxillary Diseases,Maxillary Neoplasms,4
Jaw Diseases,Periapical Diseases,3
Periapical Diseases,Periapical Periodontitis,4
Periapical Diseases,Radicular Cyst,4
Stomatognathic Diseases,Mouth Diseases,2
Mouth Diseases,Behcet Syndrome,3
Mouth Diseases,Bell Palsy,3
Mouth Diseases,Burning Mouth Syndrome,3
Mouth Diseases,"Candidiasis, Oral",3
Mouth Diseases,Dry Socket,3
Mouth Diseases,Facial Hemiatrophy,3
Mouth Diseases,Facial Nerve Diseases,3
Facial Nerve Diseases,Bell Palsy,4
Facial Nerve Diseases,Facial Hemiatrophy,4
Facial Nerve Diseases,Facial Nerve Injuries,4
Facial Nerve Diseases,Facial Neuralgia,4
Facial Nerve Diseases,Herpes Zoster Oticus,4
Facial Nerve Diseases,Melkersson-Rosenthal Syndrome,4
Facial Nerve Diseases,Mobius Syndrome,4
Mouth Diseases,Facial Paralysis,3
Mouth Diseases,Focal Epithelial Hyperplasia,3
Mouth Diseases,"Granulomatosis, Orofacial",3
Mouth Diseases,Hemifacial Spasm,3
Mouth Diseases,"Leukoedema, Oral",3
Mouth Diseases,"Lichen Planus, Oral",3
Mouth Diseases,Lip Diseases,3
Lip Diseases,Cheilitis,4
Lip Diseases,Cleft Lip,4
Lip Diseases,Herpes Labialis,4
Lip Diseases,Lip Neoplasms,4
Mouth Diseases,Ludwig's Angina,3
Mouth Diseases,Melkersson-Rosenthal Syndrome,3
Mouth Diseases,Mouth Abnormalities,3
Mouth Abnormalities,Cleft Lip,4
Mouth Abnormalities,Cleft Palate,4
Mouth Abnormalities,"Fibromatosis, Gingival",4
Mouth Abnormalities,Macrostomia,4
Mouth Abnormalities,Microstomia,4
Mouth Abnormalities,Velopharyngeal Insufficiency,4
Mouth Diseases,Mouth Neoplasms,3
Mouth Neoplasms,Gingival Neoplasms,4
Mouth Neoplasms,"Leukoplakia, Oral",4
Mouth Neoplasms,Lip Neoplasms,4
Mouth Neoplasms,Palatal Neoplasms,4
Mouth Neoplasms,Salivary Gland Neoplasms,4
Mouth Neoplasms,Tongue Neoplasms,4
Mouth Diseases,"Mouth, Edentulous",3
"Mouth, Edentulous","Jaw, Edentulous",4
Mouth Diseases,Mucositis,3
Mouth Diseases,Noma,3
Mouth Diseases,Oral Fistula,3
Oral Fistula,Dental Fistula,4
Oral Fistula,Oroantral Fistula,4
Oral Fistula,Salivary Gland Fistula,4
Mouth Diseases,Oral Hemorrhage,3
Oral Hemorrhage,Gingival Hemorrhage,4
Mouth Diseases,Oral Manifestations,3
Mouth Diseases,Oral Submucous Fibrosis,3
Mouth Diseases,Oral Ulcer,3
Mouth Diseases,Periodontal Diseases,3
Periodontal Diseases,Furcation Defects,4
Periodontal Diseases,Gingival Diseases,4
Periodontal Diseases,Peri-Implantitis,4
Periodontal Diseases,Periapical Diseases,4
Periodontal Diseases,Periodontal Atrophy,4
Periodontal Diseases,Periodontal Cyst,4
Periodontal Diseases,Periodontitis,4
Periodontal Diseases,Tooth Loss,4
Periodontal Diseases,Tooth Migration,4
Periodontal Diseases,Tooth Mobility,4
Mouth Diseases,Ranula,3
Mouth Diseases,Salivary Gland Diseases,3
Salivary Gland Diseases,Mikulicz' Disease,4
Salivary Gland Diseases,Parotid Diseases,4
Salivary Gland Diseases,Salivary Calculi,4
Salivary Gland Diseases,Salivary Gland Fistula,4
Salivary Gland Diseases,Salivary Gland Neoplasms,4
Salivary Gland Diseases,Sialadenitis,4
Salivary Gland Diseases,"Sialometaplasia, Necrotizing",4
Salivary Gland Diseases,Sialorrhea,4
Salivary Gland Diseases,Submandibular Gland Diseases,4
Salivary Gland Diseases,Xerostomia,4
Mouth Diseases,Stomatitis,3
Stomatitis,Stevens-Johnson Syndrome,4
Stomatitis,"Stomatitis, Aphthous",4
Stomatitis,"Stomatitis, Denture",4
Stomatitis,"Stomatitis, Herpetic",4
Stomatitis,Vesicular Stomatitis,4
Mouth Diseases,Tongue Diseases,3
Tongue Diseases,Glossalgia,4
Tongue Diseases,Glossitis,4
Tongue Diseases,Glossoptosis,4
Tongue Diseases,Macroglossia,4
Tongue Diseases,Tongue Neoplasms,4
Tongue Diseases,"Tongue, Fissured",4
Tongue Diseases,"Tongue, Hairy",4
Mouth Diseases,"Tuberculosis, Oral",3
Stomatognathic Diseases,Pharyngeal Diseases,2
Pharyngeal Diseases,Lemierre Syndrome,3
Pharyngeal Diseases,Nasopharyngeal Diseases,3
Nasopharyngeal Diseases,Nasopharyngeal Neoplasms,4
Nasopharyngeal Diseases,Nasopharyngitis,4
Pharyngeal Diseases,Pharyngeal Neoplasms,3
Pharyngeal Neoplasms,Hypopharyngeal Neoplasms,4
Pharyngeal Neoplasms,Nasopharyngeal Neoplasms,4
Pharyngeal Neoplasms,Oropharyngeal Neoplasms,4
Pharyngeal Diseases,Pharyngitis,3
Pharyngitis,Nasopharyngitis,4
Pharyngitis,Retropharyngeal Abscess,4
Pharyngitis,Tonsillitis,4
Pharyngeal Diseases,Velopharyngeal Insufficiency,3
Stomatognathic Diseases,Stomatognathic System Abnormalities,2
Stomatognathic System Abnormalities,Maxillofacial Abnormalities,3
Maxillofacial Abnormalities,Dentofacial Deformities,4
Maxillofacial Abnormalities,Jaw Abnormalities,4
Stomatognathic System Abnormalities,Mouth Abnormalities,3
Mouth Abnormalities,Cleft Lip,4
Mouth Abnormalities,Cleft Palate,4
Mouth Abnormalities,"Fibromatosis, Gingival",4
Mouth Abnormalities,Macrostomia,4
Mouth Abnormalities,Microstomia,4
Mouth Abnormalities,Velopharyngeal Insufficiency,4
Stomatognathic System Abnormalities,Tooth Abnormalities,3
Tooth Abnormalities,Anodontia,4
Tooth Abnormalities,Dens in Dente,4
Tooth Abnormalities,Dental Enamel Hypoplasia,4
Tooth Abnormalities,Dentin Dysplasia,4
Tooth Abnormalities,Dentinogenesis Imperfecta,4
Tooth Abnormalities,Diastema,4
Tooth Abnormalities,Fused Teeth,4
Tooth Abnormalities,Odontodysplasia,4
Tooth Abnormalities,"Tooth, Supernumerary",4
Stomatognathic Diseases,Temporomandibular Joint Disorders,2
Temporomandibular Joint Disorders,Temporomandibular Joint Dysfunction Syndrome,3
Stomatognathic Diseases,Tooth Diseases,2
Tooth Diseases,Bruxism,3
Bruxism,Sleep Bruxism,4
Tooth Diseases,Dental Deposits,3
Dental Deposits,Dental Calculus,4
Dental Deposits,Dental Plaque,4
Dental Deposits,Smear Layer,4
Tooth Diseases,Dental Leakage,3
Tooth Diseases,Dental Pulp Diseases,3
Dental Pulp Diseases,Dental Pulp Calcification,4
Dental Pulp Diseases,Dental Pulp Exposure,4
Dental Pulp Diseases,Dental Pulp Necrosis,4
Dental Pulp Diseases,"Dentin, Secondary",4
Dental Pulp Diseases,Pulpitis,4
Dental Pulp Diseases,"Tooth, Nonvital",4
Tooth Diseases,Dentin Sensitivity,3
Tooth Diseases,"Fluorosis, Dental",3
Tooth Diseases,"Focal Infection, Dental",3
Tooth Diseases,Hypercementosis,3
Tooth Diseases,Malocclusion,3
Malocclusion,"Dental Occlusion, Traumatic",4
Malocclusion,"Malocclusion, Angle Class I",4
Malocclusion,"Malocclusion, Angle Class II",4
Malocclusion,"Malocclusion, Angle Class III",4
Malocclusion,Open Bite,4
Tooth Diseases,"Mouth, Edentulous",3
"Mouth, Edentulous","Jaw, Edentulous",4
Tooth Diseases,Tooth Abnormalities,3
Tooth Abnormalities,Anodontia,4
Tooth Abnormalities,Dens in Dente,4
Tooth Abnormalities,Dental Enamel Hypoplasia,4
Tooth Abnormalities,Dentin Dysplasia,4
Tooth Abnormalities,Dentinogenesis Imperfecta,4
Tooth Abnormalities,Diastema,4
Tooth Abnormalities,Fused Teeth,4
Tooth Abnormalities,Odontodysplasia,4
Tooth Abnormalities,"Tooth, Supernumerary",4
Tooth Diseases,Tooth Ankylosis,3
Tooth Diseases,Tooth Demineralization,3
Tooth Demineralization,Dental Caries,4
Tooth Diseases,Tooth Discoloration,3
Tooth Diseases,"Tooth Eruption, Ectopic",3
Tooth Diseases,Tooth Wear,3
Tooth Wear,Tooth Abrasion,4
Tooth Wear,Tooth Attrition,4
Tooth Wear,Tooth Erosion,4
Tooth Diseases,Tooth Injuries,3
Tooth Injuries,Tooth Avulsion,4
Tooth Injuries,Tooth Fractures,4
Tooth Diseases,Tooth Loss,3
Tooth Diseases,Tooth Resorption,3
Tooth Resorption,Root Resorption,4
Tooth Diseases,"Tooth, Impacted",3
Tooth Diseases,"Tooth, Unerupted",3
Tooth Diseases,Toothache,3
Diseases,Respiratory Tract Diseases,1
Respiratory Tract Diseases,Bronchial Diseases,2
Bronchial Diseases,Asthma,3
Asthma,"Asthma, Aspirin-Induced",4
Asthma,"Asthma, Exercise-Induced",4
Asthma,"Asthma, Occupational",4
Asthma,Status Asthmaticus,4
Bronchial Diseases,Bronchial Fistula,3
Bronchial Diseases,Bronchial Hyperreactivity,3
Bronchial Diseases,Bronchial Neoplasms,3
Bronchial Diseases,Bronchial Spasm,3
Bronchial Diseases,Bronchiectasis,3
Bronchiectasis,Kartagener Syndrome,4
Bronchial Diseases,Bronchitis,3
Bronchitis,Bronchiolitis,4
Bronchitis,"Bronchitis, Chronic",4
Bronchial Diseases,Bronchogenic Cyst,3
Bronchial Diseases,Bronchopneumonia,3
Bronchial Diseases,Tracheobronchomalacia,3
Tracheobronchomalacia,Bronchomalacia,4
Bronchial Diseases,Tracheobronchomegaly,3
Respiratory Tract Diseases,Ciliary Motility Disorders,2
Ciliary Motility Disorders,Kartagener Syndrome,3
Respiratory Tract Diseases,"Granuloma, Respiratory Tract",2
"Granuloma, Respiratory Tract","Granuloma, Laryngeal",3
Respiratory Tract Diseases,Laryngeal Diseases,2
Laryngeal Diseases,"Granuloma, Laryngeal",3
Laryngeal Diseases,Laryngeal Edema,3
Laryngeal Diseases,Laryngeal Neoplasms,3
Laryngeal Diseases,Laryngeal Nerve Injuries,3
Laryngeal Nerve Injuries,Recurrent Laryngeal Nerve Injuries,4
Laryngeal Diseases,Laryngitis,3
Laryngitis,Croup,4
Laryngeal Diseases,Laryngocele,3
Laryngeal Diseases,Laryngomalacia,3
Laryngeal Diseases,Laryngopharyngeal Reflux,3
Laryngeal Diseases,Laryngostenosis,3
Laryngeal Diseases,Supraglottitis,3
Laryngeal Diseases,"Tuberculosis, Laryngeal",3
Laryngeal Diseases,Vocal Cord Dysfunction,3
Vocal Cord Dysfunction,Laryngismus,4
Laryngeal Diseases,Vocal Cord Paralysis,3
Laryngeal Diseases,Voice Disorders,3
Voice Disorders,Aphonia,4
Voice Disorders,Dysphonia,4
Voice Disorders,Hoarseness,4
Respiratory Tract Diseases,Lung Diseases,2
Lung Diseases,Acute Chest Syndrome,3
Lung Diseases,alpha 1-Antitrypsin Deficiency,3
Lung Diseases,"Cystic Adenomatoid Malformation of Lung, Congenital",3
Lung Diseases,Cystic Fibrosis,3
Lung Diseases,Hemoptysis,3
Lung Diseases,Hepatopulmonary Syndrome,3
Lung Diseases,"Hypertension, Pulmonary",3
"Hypertension, Pulmonary",Familial Primary Pulmonary Hypertension,4
"Hypertension, Pulmonary",Persistent Fetal Circulation Syndrome,4
Lung Diseases,Lung Abscess,3
Lung Diseases,"Lung Diseases, Fungal",3
"Lung Diseases, Fungal",Blastomycosis,4
"Lung Diseases, Fungal","Pneumonia, Pneumocystis",4
"Lung Diseases, Fungal",Pulmonary Aspergillosis,4
Lung Diseases,"Lung Diseases, Interstitial",3
"Lung Diseases, Interstitial","Alveolitis, Extrinsic Allergic",4
"Lung Diseases, Interstitial",Anti-Glomerular Basement Membrane Disease,4
"Lung Diseases, Interstitial","Histiocytosis, Langerhans-Cell",4
"Lung Diseases, Interstitial",Idiopathic Interstitial Pneumonias,4
"Lung Diseases, Interstitial",Pneumoconiosis,4
"Lung Diseases, Interstitial",Radiation Pneumonitis,4
"Lung Diseases, Interstitial","Sarcoidosis, Pulmonary",4
"Lung Diseases, Interstitial",Granulomatosis with Polyangiitis,4
Lung Diseases,"Lung Diseases, Obstructive",3
"Lung Diseases, Obstructive",Asthma,4
"Lung Diseases, Obstructive",Bronchitis,4
"Lung Diseases, Obstructive","Pulmonary Disease, Chronic Obstructive",4
Lung Diseases,"Lung Diseases, Parasitic",3
"Lung Diseases, Parasitic","Echinococcosis, Pulmonary",4
Lung Diseases,Lung Injury,3
Lung Injury,Acute Lung Injury,4
Lung Injury,Meconium Aspiration Syndrome,4
Lung Injury,Pneumoconiosis,4
Lung Injury,Radiation Pneumonitis,4
Lung Injury,Ventilator-Induced Lung Injury,4
Lung Diseases,Lung Neoplasms,3
Lung Neoplasms,"Carcinoma, Bronchogenic",4
Lung Neoplasms,Multiple Pulmonary Nodules,4
Lung Neoplasms,Pancoast Syndrome,4
Lung Neoplasms,Pulmonary Sclerosing Hemangioma,4
Lung Diseases,"Lung, Hyperlucent",3
Lung Diseases,"Plasma Cell Granuloma, Pulmonary",3
Lung Diseases,Pneumonia,3
Pneumonia,Bronchopneumonia,4
Pneumonia,Healthcare-Associated Pneumonia,4
Pneumonia,Pleuropneumonia,4
Pneumonia,"Pneumonia, Aspiration",4
Pneumonia,"Pneumonia, Bacterial",4
Pneumonia,"Pneumonia, Necrotizing",4
Pneumonia,"Pneumonia, Pneumocystis",4
Pneumonia,"Pneumonia, Ventilator-Associated",4
Pneumonia,"Pneumonia, Viral",4
Lung Diseases,Pulmonary Alveolar Proteinosis,3
Lung Diseases,Pulmonary Atelectasis,3
Pulmonary Atelectasis,Middle Lobe Syndrome,4
Lung Diseases,Pulmonary Edema,3
Lung Diseases,Pulmonary Embolism,3
Pulmonary Embolism,Pulmonary Infarction,4
Lung Diseases,Pulmonary Eosinophilia,3
Lung Diseases,Pulmonary Fibrosis,3
Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,4
Lung Diseases,Pulmonary Veno-Occlusive Disease,3
Lung Diseases,"Respiratory Distress Syndrome, Adult",3
Lung Diseases,"Respiratory Distress Syndrome, Newborn",3
"Respiratory Distress Syndrome, Newborn",Hyaline Membrane Disease,4
"Respiratory Distress Syndrome, Newborn",Transient Tachypnea of the Newborn,4
Lung Diseases,Scimitar Syndrome,3
Lung Diseases,Solitary Pulmonary Nodule,3
Lung Diseases,"Tuberculosis, Pulmonary",3
"Tuberculosis, Pulmonary",Silicotuberculosis,4
Respiratory Tract Diseases,Nose Diseases,2
Nose Diseases,Choanal Atresia,3
Nose Diseases,Epistaxis,3
Nose Diseases,"Granuloma, Lethal Midline",3
Nose Diseases,Nasal Obstruction,3
Nose Diseases,Nasal Polyps,3
Nose Diseases,Nasal Septal Perforation,3
Nose Diseases,"Nose Deformities, Acquired",3
Nose Diseases,Nose Neoplasms,3
Nose Neoplasms,Paranasal Sinus Neoplasms,4
Nose Diseases,Paranasal Sinus Diseases,3
Paranasal Sinus Diseases,Paranasal Sinus Neoplasms,4
Paranasal Sinus Diseases,Sinusitis,4
Nose Diseases,Rhinitis,3
Rhinitis,"Rhinitis, Allergic",4
Rhinitis,"Rhinitis, Atrophic",4
Rhinitis,"Rhinitis, Vasomotor",4
Nose Diseases,Rhinoscleroma,3
Respiratory Tract Diseases,Pleural Diseases,2
Pleural Diseases,Chylothorax,3
Pleural Diseases,"Empyema, Pleural",3
"Empyema, Pleural","Empyema, Tuberculous",4
Pleural Diseases,Hemopneumothorax,3
Pleural Diseases,Hemothorax,3
Pleural Diseases,Hydropneumothorax,3
Pleural Diseases,Hydrothorax,3
Pleural Diseases,Pleural Effusion,3
Pleural Effusion,"Pleural Effusion, Malignant",4
Pleural Diseases,Pleural Neoplasms,3
Pleural Neoplasms,"Pleural Effusion, Malignant",4
Pleural Diseases,Pleurisy,3
Pleurisy,Pleuropneumonia,4
Pleural Diseases,Pneumothorax,3
Pleural Diseases,"Tuberculosis, Pleural",3
"Tuberculosis, Pleural","Empyema, Tuberculous",4
Respiratory Tract Diseases,Respiration Disorders,2
Respiration Disorders,Acute Chest Syndrome,3
Respiration Disorders,Altitude Sickness,3
Respiration Disorders,Apnea,3
Apnea,Sleep Apnea Syndromes,4
Respiration Disorders,Cheyne-Stokes Respiration,3
Respiration Disorders,Cough,3
Respiration Disorders,Dyspnea,3
Dyspnea,"Dyspnea, Paroxysmal",4
Respiration Disorders,Hoarseness,3
Hoarseness,Lipoid Proteinosis of Urbach and Wiethe,4
Respiration Disorders,Hyperventilation,3
Hyperventilation,"Alkalosis, Respiratory",4
Respiration Disorders,Meconium Aspiration Syndrome,3
Respiration Disorders,Mouth Breathing,3
Respiration Disorders,Respiratory Aspiration,3
Respiratory Aspiration,Respiratory Aspiration of Gastric Contents,4
Respiration Disorders,"Respiratory Distress Syndrome, Adult",3
Respiration Disorders,"Respiratory Distress Syndrome, Newborn",3
"Respiratory Distress Syndrome, Newborn",Hyaline Membrane Disease,4
"Respiratory Distress Syndrome, Newborn",Transient Tachypnea of the Newborn,4
Respiration Disorders,Respiratory Insufficiency,3
Respiratory Insufficiency,"Acidosis, Respiratory",4
Respiratory Insufficiency,Airway Obstruction,4
Respiratory Insufficiency,"Granuloma, Laryngeal",4
Respiratory Insufficiency,Hantavirus Pulmonary Syndrome,4
Respiratory Insufficiency,Hypoventilation,4
Respiratory Insufficiency,Infantile Apparent Life-Threatening Event,4
Respiratory Insufficiency,"Positive-Pressure Respiration, Intrinsic",4
Respiratory Insufficiency,Respiratory Paralysis,4
Respiration Disorders,Sarcoglycanopathies,3
Respiration Disorders,Tachypnea,3
Tachypnea,Transient Tachypnea of the Newborn,4
Respiration Disorders,Vocal Cord Dysfunction,3
Vocal Cord Dysfunction,Laryngismus,4
Respiratory Tract Diseases,Respiratory Hypersensitivity,2
Respiratory Hypersensitivity,"Alveolitis, Extrinsic Allergic",3
"Alveolitis, Extrinsic Allergic",Bird Fancier's Lung,4
"Alveolitis, Extrinsic Allergic",Farmer's Lung,4
"Alveolitis, Extrinsic Allergic",Trichosporonosis,4
Respiratory Hypersensitivity,"Aspergillosis, Allergic Bronchopulmonary",3
Respiratory Hypersensitivity,Asthma,3
Asthma,"Asthma, Aspirin-Induced",4
Asthma,"Asthma, Exercise-Induced",4
Asthma,"Asthma, Occupational",4
Asthma,Status Asthmaticus,4
Respiratory Hypersensitivity,"Rhinitis, Allergic",3
"Rhinitis, Allergic","Rhinitis, Allergic, Perennial",4
"Rhinitis, Allergic","Rhinitis, Allergic, Seasonal",4
Respiratory Tract Diseases,Respiratory System Abnormalities,2
Respiratory System Abnormalities,Bronchogenic Cyst,3
Respiratory System Abnormalities,Bronchopulmonary Sequestration,3
Respiratory System Abnormalities,Choanal Atresia,3
Respiratory System Abnormalities,"Cystic Adenomatoid Malformation of Lung, Congenital",3
Respiratory System Abnormalities,Kartagener Syndrome,3
Respiratory System Abnormalities,Laryngocele,3
Respiratory System Abnormalities,Scimitar Syndrome,3
Respiratory System Abnormalities,Tracheobronchomegaly,3
Respiratory Tract Diseases,Respiratory Tract Fistula,2
Respiratory Tract Fistula,Bronchial Fistula,3
Respiratory Tract Fistula,Tracheoesophageal Fistula,3
Respiratory Tract Diseases,Respiratory Tract Infections,2
Respiratory Tract Infections,Bovine Respiratory Disease Complex,3
Bovine Respiratory Disease Complex,"Pasteurellosis, Pneumonic",4
Bovine Respiratory Disease Complex,"Pneumonia of Calves, Enzootic",4
Bovine Respiratory Disease Complex,"Pneumonia, Atypical Interstitial, of Cattle",4
Respiratory Tract Infections,Bronchitis,3
Bronchitis,Bronchiolitis,4
Bronchitis,"Bronchitis, Chronic",4
Respiratory Tract Infections,Common Cold,3
Respiratory Tract Infections,"Empyema, Pleural",3
"Empyema, Pleural","Empyema, Tuberculous",4
Respiratory Tract Infections,"Influenza, Human",3
Respiratory Tract Infections,Laryngitis,3
Respiratory Tract Infections,Legionellosis,3
Legionellosis,Legionnaires' Disease,4
Respiratory Tract Infections,Lung Abscess,3
Respiratory Tract Infections,"Lung Diseases, Fungal",3
"Lung Diseases, Fungal","Aspergillosis, Allergic Bronchopulmonary",4
"Lung Diseases, Fungal",Blastomycosis,4
"Lung Diseases, Fungal","Pneumonia, Pneumocystis",4
Respiratory Tract Infections,"Lung Diseases, Parasitic",3
"Lung Diseases, Parasitic","Echinococcosis, Pulmonary",4
Respiratory Tract Infections,Pharyngitis,3
Pharyngitis,Nasopharyngitis,4
Pharyngitis,Retropharyngeal Abscess,4
Pharyngitis,Tonsillitis,4
Respiratory Tract Infections,Pleurisy,3
Pleurisy,Pleuropneumonia,4
Respiratory Tract Infections,Pneumonia,3
Pneumonia,Bronchopneumonia,4
Pneumonia,Healthcare-Associated Pneumonia,4
Pneumonia,Pleuropneumonia,4
Pneumonia,"Pneumonia, Aspiration",4
Pneumonia,"Pneumonia, Bacterial",4
Pneumonia,"Pneumonia, Necrotizing",4
Pneumonia,"Pneumonia, Pneumocystis",4
Pneumonia,"Pneumonia, Ventilator-Associated",4
Pneumonia,"Pneumonia, Viral",4
Respiratory Tract Infections,Rhinitis,3
Respiratory Tract Infections,Rhinoscleroma,3
Respiratory Tract Infections,Severe Acute Respiratory Syndrome,3
Respiratory Tract Infections,Sinusitis,3
Sinusitis,Ethmoid Sinusitis,4
Sinusitis,Frontal Sinusitis,4
Sinusitis,Maxillary Sinusitis,4
Sinusitis,Sphenoid Sinusitis,4
Respiratory Tract Infections,Supraglottitis,3
Supraglottitis,Epiglottitis,4
Respiratory Tract Infections,Tracheitis,3
Respiratory Tract Infections,"Tuberculosis, Laryngeal",3
Respiratory Tract Infections,"Tuberculosis, Pleural",3
"Tuberculosis, Pleural","Empyema, Tuberculous",4
Respiratory Tract Infections,"Tuberculosis, Pulmonary",3
"Tuberculosis, Pulmonary",Silicotuberculosis,4
Respiratory Tract Infections,Whooping Cough,3
Respiratory Tract Diseases,Respiratory Tract Neoplasms,2
Respiratory Tract Neoplasms,Laryngeal Neoplasms,3
Respiratory Tract Neoplasms,Lung Neoplasms,3
Lung Neoplasms,Bronchial Neoplasms,4
Lung Neoplasms,Multiple Pulmonary Nodules,4
Lung Neoplasms,Pancoast Syndrome,4
Lung Neoplasms,Pulmonary Sclerosing Hemangioma,4
Respiratory Tract Neoplasms,Nose Neoplasms,3
Nose Neoplasms,Paranasal Sinus Neoplasms,4
Respiratory Tract Neoplasms,Pleural Neoplasms,3
Pleural Neoplasms,"Pleural Effusion, Malignant",4
Respiratory Tract Neoplasms,Tracheal Neoplasms,3
Respiratory Tract Diseases,Thoracic Diseases,2
Thoracic Diseases,Mediastinal Diseases,3
Mediastinal Diseases,Mediastinal Cyst,4
Mediastinal Diseases,Mediastinal Emphysema,4
Mediastinal Diseases,Mediastinal Neoplasms,4
Mediastinal Diseases,Mediastinitis,4
Respiratory Tract Diseases,Tracheal Diseases,2
Tracheal Diseases,Tracheal Neoplasms,3
Tracheal Diseases,Tracheal Stenosis,3
Tracheal Diseases,Tracheitis,3
Tracheal Diseases,Tracheobronchomalacia,3
Tracheobronchomalacia,Tracheomalacia,4
Tracheal Diseases,Tracheobronchomegaly,3
Tracheal Diseases,Tracheoesophageal Fistula,3
Diseases,Otorhinolaryngologic Diseases,1
Otorhinolaryngologic Diseases,Ciliary Motility Disorders,2
Ciliary Motility Disorders,Kartagener Syndrome,3
Otorhinolaryngologic Diseases,Ear Diseases,2
Ear Diseases,"Cholesteatoma, Middle Ear",3
Ear Diseases,Congenital Microtia,3
Ear Diseases,"Ear Deformities, Acquired",3
Ear Diseases,Ear Neoplasms,3
Ear Diseases,Earache,3
Ear Diseases,Hearing Disorders,3
Hearing Disorders,Hearing Loss,4
Hearing Disorders,Hyperacusis,4
Hearing Disorders,Tinnitus,4
Ear Diseases,Herpes Zoster Oticus,3
Ear Diseases,Labyrinth Diseases,3
Labyrinth Diseases,Cochlear Diseases,4
Labyrinth Diseases,Endolymphatic Hydrops,4
Labyrinth Diseases,Labyrinthitis,4
Labyrinth Diseases,Vestibular Diseases,4
Ear Diseases,Myringosclerosis,3
Ear Diseases,Otitis,3
Otitis,Labyrinthitis,4
Otitis,Otitis Externa,4
Otitis,Otitis Media,4
Ear Diseases,Otomycosis,3
Ear Diseases,Otosclerosis,3
Ear Diseases,Retrocochlear Diseases,3
Retrocochlear Diseases,"Auditory Diseases, Central",4
Retrocochlear Diseases,Vestibulocochlear Nerve Diseases,4
Ear Diseases,Susac Syndrome,3
Ear Diseases,Tympanic Membrane Perforation,3
Otorhinolaryngologic Diseases,Laryngeal Diseases,2
Laryngeal Diseases,"Granuloma, Laryngeal",3
Laryngeal Diseases,Laryngeal Edema,3
Laryngeal Diseases,Laryngeal Neoplasms,3
Laryngeal Diseases,Laryngeal Nerve Injuries,3
Laryngeal Nerve Injuries,Recurrent Laryngeal Nerve Injuries,4
Laryngeal Diseases,Laryngitis,3
Laryngitis,Croup,4
Laryngeal Diseases,Laryngocele,3
Laryngeal Diseases,Laryngomalacia,3
Laryngeal Diseases,Laryngostenosis,3
Laryngeal Diseases,Supraglottitis,3
Laryngeal Diseases,"Tuberculosis, Laryngeal",3
Laryngeal Diseases,Vocal Cord Dysfunction,3
Vocal Cord Dysfunction,Laryngismus,4
Laryngeal Diseases,Vocal Cord Paralysis,3
Laryngeal Diseases,Voice Disorders,3
Voice Disorders,Aphonia,4
Voice Disorders,Dysphonia,4
Voice Disorders,Hoarseness,4
Otorhinolaryngologic Diseases,Nose Diseases,2
Nose Diseases,Choanal Atresia,3
Nose Diseases,Epistaxis,3
Nose Diseases,"Granuloma, Lethal Midline",3
Nose Diseases,Nasal Obstruction,3
Nose Diseases,Nasal Polyps,3
Nose Diseases,Nasal Septal Perforation,3
Nose Diseases,"Nose Deformities, Acquired",3
Nose Diseases,Nose Neoplasms,3
Nose Neoplasms,Paranasal Sinus Neoplasms,4
